"","cat_pais","ncat_eleccion","ncat_ronda","nombres_candidatos","v2pashname","v2pariglef_vdem","source_v2pariglef","v2paactcom_vdem","source_v2paactcom"
"570","Costa Rica",2006,1,"Otton Solis","PAC",-1.125,"VDEM",-2.486,"VDEM"
"571","Costa Rica",2006,1,"Otto Guevara","PML",2.097,"VDEM",-2.503,"VDEM"
"572","Costa Rica",2006,1,"Abel Pacheco de la Espriella",NA,NA,NA,NA,NA
"573","Costa Rica",2006,1,"Alvaro Montero",NA,NA,NA,NA,NA
"574","Costa Rica",2006,1,"Ricardo Toledo","PUSC",1.516,"VDEM",-1.653,"VDEM"
"575","Costa Rica",2006,1,"Vladimir de la Cruz","FD",NA,NA,NA,NA
"576","Costa Rica",2006,1,"Bolivar Serrano Hidalgo",NA,NA,NA,NA,NA
"577","Costa Rica",2006,1,"Jose Manuel Echandi",NA,NA,NA,NA,NA
"578","Costa Rica",2006,1,"Antonio Alvarez Desanti",NA,NA,NA,NA,NA
"579","Costa Rica",2006,1,"Walter Munoz","PIN",NA,NA,NA,NA
"580","Costa Rica",2006,1,"Juan Jose Vargas Fallas",NA,NA,NA,NA,NA
"581","Costa Rica",2006,1,"Jose Miguel Villalobos",NA,NA,NA,NA,NA
"582","Costa Rica",2006,1,"Humberto Vargas",NA,NA,NA,NA,NA
"583","Costa Rica",2006,1,"Oscar Arias","PLN",1.393,"VDEM",-0.938,"VDEM"
"584","Costa Rica",2018,1,"Carlos Alvarado Quesada","PAC",0,"VDEM",-1.319,"VDEM"
"585","Costa Rica",2018,1,"Otto Guevara","PML",2.097,"Proyectado. Ultimo valor disponible V-DEM",-2.503,"Proyectado. Ultimo valor disponible V-DEM"
"586","Costa Rica",2018,1,"Edgardo Araya","FA",-2.46,"Proyectado. Ultimo valor disponible V-DEM",-2.532,"Proyectado. Ultimo valor disponible V-DEM"
"587","Costa Rica",2018,1,"Mario Redondo Poveda",NA,NA,NA,NA,NA
"588","Costa Rica",2018,1,"Rodolfo Hernandez",NA,NA,NA,NA,NA
"589","Costa Rica",2018,1,"Antonio Alvarez Desanti","PLN",0.633,"VDEM",-0.938,"VDEM"
"590","Costa Rica",2018,1,"Fabricio Alvarado Munoz","PRN",2.047,"VDEM",-0.471,"VDEM"
"591","Costa Rica",2018,1,"Oscar Lopez","PASE",1.57,"Proyectado. Ultimo valor disponible V-DEM",-2.464,"Proyectado. Ultimo valor disponible V-DEM"
"592","Costa Rica",2018,1,"Sergio Mena",NA,NA,NA,NA,NA
"593","Costa Rica",2018,1,"Jhon Vega",NA,NA,NA,NA,NA
"594","Costa Rica",2010,1,"Laura Chinchilla","PLN",0.276,"VDEM",-0.938,"VDEM"
"595","Costa Rica",2010,1,"Otton Solis","PAC",-1.125,"VDEM",-1.318,"VDEM"
"596","Costa Rica",2010,1,"Otto Guevara","PML",2.097,"VDEM",-2.503,"VDEM"
"597","Costa Rica",2010,1,"Luis Fishman","PUSC",1.516,"VDEM",-2.414,"VDEM"
"598","Costa Rica",2010,1,"Walter Munoz","PIN",NA,NA,NA,NA
"599","Costa Rica",2010,1,"Mayra Gonzalez",NA,NA,NA,NA,NA
"600","Costa Rica",2010,1,"Eugenio Trejos","FA",NA,NA,NA,NA
"601","Costa Rica",2010,1,"Oscar Lopez","PASE",1.57,"VDEM",-2.464,"VDEM"
"602","Costa Rica",2010,1,"Rolando Araya",NA,NA,NA,NA,NA
"603","Costa Rica",2014,1,"Johnny Araya Monge","PLN",0.633,"VDEM",-0.938,"VDEM"
"604","Costa Rica",2014,1,"Jose Miguel Corrales Bolanos",NA,NA,NA,NA,NA
"605","Costa Rica",2014,1,"Otto Guevara","PML",2.097,"VDEM",-2.503,"VDEM"
"606","Costa Rica",2014,1,"Rodolfo Piza","PUSC",1.516,"VDEM",-2.414,"VDEM"
"607","Costa Rica",2014,1,"Luis Guillermo Solis","PAC",0,"VDEM",-1.319,"VDEM"
"608","Costa Rica",2014,1,"Jose Maria Villalta","FA",-2.46,"VDEM",-2.532,"VDEM"
"609","Costa Rica",2014,1,"Jose Manuel Echandi",NA,NA,NA,NA,NA
"610","Costa Rica",2014,1,"Hector Monestel Herrera",NA,NA,NA,NA,NA
"611","Costa Rica",2014,1,"Sergio Mena",NA,NA,NA,NA,NA
"612","Costa Rica",2014,1,"Oscar Lopez","PASE",1.57,"Proyectado. Ultimo valor disponible V-DEM",-2.464,"Proyectado. Ultimo valor disponible V-DEM"
"613","Costa Rica",2014,1,"Carlos Avendano","PRN",NA,NA,NA,NA
"614","Costa Rica",2014,1,"Walter Munoz","PIN",NA,NA,NA,NA
"615","Costa Rica",2014,1,"Justo Orozco",NA,NA,NA,NA,NA
"616","Costa Rica",2018,1,"Stephanie Campos",NA,NA,NA,NA,NA
"617","Costa Rica",2018,2,"Fabricio Alvarado Munoz",NA,NA,NA,NA,NA
"618","Costa Rica",2018,2,"Carlos Alvarado Quesada","PAC",0,"VDEM",-1.319,"VDEM"
"619","Costa Rica",2018,1,"Juan Diego Castro","PIN",1.096,"VDEM",-2.495,"VDEM"
"620","Costa Rica",2018,1,"Rodolfo Piza","PUSC",1.516,"VDEM",-2.414,"VDEM"
"621","Costa Rica",2022,1,"Rodrigo Chaves",NA,NA,NA,NA,NA
"622","Costa Rica",2022,1,"Fabricio Alvarado Munoz",NA,NA,NA,NA,NA
"623","Costa Rica",2022,1,"Rolando Araya",NA,NA,NA,NA,NA
"624","Costa Rica",2022,1,"Welmer Ramos","PAC",0,"Proyectado. Ultimo valor disponible V-DEM",-1.319,"Proyectado. Ultimo valor disponible V-DEM"
"625","Costa Rica",2022,1,"Jose Maria Villalta","FA",-2.46,"Proyectado. Ultimo valor disponible V-DEM",-2.532,"Proyectado. Ultimo valor disponible V-DEM"
"626","Costa Rica",2022,1,"Eliecer Feinzaig",NA,NA,NA,NA,NA
"627","Costa Rica",2022,1,"Jose Maria Figueres","PLN",0.633,"Proyectado. Ultimo valor disponible V-DEM",-0.938,"Proyectado. Ultimo valor disponible V-DEM"
"628","Costa Rica",2022,1,"Lineth Saborio","PUSC",1.516,"Proyectado. Ultimo valor disponible V-DEM",-2.414,"Proyectado. Ultimo valor disponible V-DEM"
"629","Costa Rica",2022,1,"Rodolfo Hernandez",NA,NA,NA,NA,NA
"630","Costa Rica",2022,1,"Rodolfo Piza",NA,NA,NA,NA,NA
"631","Costa Rica",2022,1,"Federico Malavassi",NA,NA,NA,NA,NA
"632","Costa Rica",2022,1,"Carmen Quesada",NA,NA,NA,NA,NA
"633","Costa Rica",2022,1,"Greivin Moya",NA,NA,NA,NA,NA
"634","Costa Rica",2022,1,"Martin Chinchilla","PU",NA,NA,NA,NA
"635","Costa Rica",2022,1,"Luis Alberto Cordero","PML",2.097,"Proyectado. Ultimo valor disponible V-DEM",-2.503,"Proyectado. Ultimo valor disponible V-DEM"
"636","Costa Rica",2022,1,"Eduardo Cruickshank","PRN",2.047,"Proyectado. Ultimo valor disponible V-DEM",-0.471,"Proyectado. Ultimo valor disponible V-DEM"
"637","Costa Rica",2022,1,"Christian Rivera",NA,NA,NA,NA,NA
"638","Costa Rica",2022,1,"Maricela Morales",NA,NA,NA,NA,NA
"639","Costa Rica",2022,1,"Roulan Jimenez",NA,NA,NA,NA,NA
"640","Costa Rica",2022,1,"Sergio Mena",NA,NA,NA,NA,NA
"641","Costa Rica",2022,1,"Oscar Lopez","PASE",1.57,"Proyectado. Ultimo valor disponible V-DEM",-2.464,"Proyectado. Ultimo valor disponible V-DEM"
"642","Costa Rica",2022,1,"Natalia Diaz",NA,NA,NA,NA,NA
"643","Costa Rica",2022,1,"Oscar Campos",NA,NA,NA,NA,NA
"644","Costa Rica",2022,1,"Walter Munoz","PIN",1.096,"Proyectado. Ultimo valor disponible V-DEM",-2.495,"Proyectado. Ultimo valor disponible V-DEM"
"645","Costa Rica",2022,1,"Jhon Vega",NA,NA,NA,NA,NA
"646","Costa Rica",2022,2,"Rodrigo Chaves",NA,NA,NA,NA,NA
"647","Costa Rica",2022,2,"Jose Maria Figueres","PLN",0.633,"Proyectado. Ultimo valor disponible V-DEM",-0.938,"Proyectado. Ultimo valor disponible V-DEM"
"648","Republica Dominicana",2016,1,"Luis Rodolfo Abinader","PRM",NA,NA,NA,NA
"649","Republica Dominicana",2016,1,"Guillermo Moreno",NA,NA,NA,NA,NA
"650","Republica Dominicana",2016,1,"Minerva Tavarez Mirabal",NA,NA,NA,NA,NA
"651","Republica Dominicana",2016,1,"Soraya Aquino",NA,NA,NA,NA,NA
"652","Republica Dominicana",2016,1,"Pelegrin Castillo",NA,NA,NA,NA,NA
"653","Republica Dominicana",2016,1,"Elias Wessin Chavez","PQD",NA,NA,NA,NA
"654","Republica Dominicana",2016,1,"Hatuey De Camps",NA,NA,NA,NA,NA
"655","El Salvador",1999,1,"Rodolfo Parker","PDC",NA,NA,NA,NA
"656","El Salvador",1999,1,"Facundo Guardado","FMLN",-2.503,"Proyectado. Ultimo valor disponible V-DEM",1.953,"Proyectado. Ultimo valor disponible V-DEM"
"657","El Salvador",1999,1,"Ruben Zamora",NA,NA,NA,NA,NA
"658","El Salvador",1999,1,"Salvador Nestor Garcia",NA,NA,NA,NA,NA
"659","El Salvador",2014,1,"Salvador Sanchez Ceren","FMLN",-1.292,"Proyectado. Ultimo valor disponible V-DEM",1.953,"Proyectado. Ultimo valor disponible V-DEM"
"660","El Salvador",2014,1,"Norman Quijano","ARENA",1.946,"Proyectado. Ultimo valor disponible V-DEM",1.936,"Proyectado. Ultimo valor disponible V-DEM"
"661","El Salvador",2014,1,"Elias Antonio Saca",NA,NA,NA,NA,NA
"662","El Salvador",2014,1,"Rene Rodriguez Hurtado",NA,NA,NA,NA,NA
"663","El Salvador",2014,1,"Oscar Lemu",NA,NA,NA,NA,NA
"664","El Salvador",2019,1,"Carlos Calleja",NA,NA,NA,NA,NA
"665","El Salvador",2019,1,"Hugo Martinez","FMLN",-1.292,"Proyectado. Ultimo valor disponible V-DEM",1.953,"Proyectado. Ultimo valor disponible V-DEM"
"666","El Salvador",2019,1,"Josue Alvarado",NA,NA,NA,NA,NA
"667","Brasil",1989,1,"Fernando Collor de Mello","PRN",NA,NA,NA,NA
"668","Brasil",1989,1,"Silvio Santos",NA,NA,NA,NA,NA
"669","Brasil",1994,1,"Walter Queiroz","PRN",NA,NA,NA,NA
"670","Brasil",2006,1,"Luiz Inacio Lula da Silva","PT",-1.455,"VDEM",0.818,"VDEM"
"671","Brasil",2018,1,"Luiz Inacio Lula da Silva","PT",-1.896,"VDEM",0.567,"VDEM"
"672","Argentina",2015,1,"Daniel Scioli","FPV-PJ",-1.659,"VDEM",2.17,"VDEM"
"673","Peru",2016,1,"Cesar Acuna",NA,NA,NA,NA,NA
"674","Peru",2016,1,"Daniel Urresti",NA,NA,NA,NA,NA
"675","Peru",2016,1,"Renzo Reggiardo",NA,NA,NA,NA,NA
"676","Ecuador",2006,1,"Luis Macas Ambuludi","MUPP-NP",-2.175,"VDEM",0.493,"VDEM"
"677","Ecuador",2013,1,"Rafael Correa","PAIS",-1.61,"VDEM",1.932,"VDEM"
"678","Ecuador",2013,1,"Alberto Acosta","MUPP-NP",-2.175,"VDEM",0.493,"VDEM"
"679","Uruguay",2009,1,"Luis Alberto Lacalle Herrera","PN",1.373,"VDEM",1.78,"VDEM"
"680","Uruguay",2009,1,"Jose Mujica","FA/EP",-1.334,"VDEM",1.152,"VDEM"
"681","Uruguay",2014,1,"Tabare Vazquez","FA/EP",-1.334,"VDEM",1.152,"VDEM"
"682","Nicaragua",2006,1,"Daniel Ortega","FSLN",-0.854,"VDEM",0.938,"VDEM"
"683","Panama",1994,1,"Mireya Moscoso",NA,NA,NA,NA,NA
"684","Panama",2009,1,"Guillermo Endara",NA,NA,NA,NA,NA
"685","Venezuela",1963,1,"Raul Leoni","AD",NA,"VDEM",NA,"VDEM"
"686","Venezuela",1998,1,"Irene Saez",NA,NA,NA,NA,NA
"687","Bolivia",1993,1,"Carlos Palenque","CONDEPA",-1.013,"VDEM",-0.693,"VDEM"
"688","Bolivia",1997,1,"Hugo Banzer","ADN",1.018,"VDEM",0.211,"VDEM"
"689","Bolivia",2002,1,"Rene Blattmann",NA,NA,NA,NA,NA
"690","Bolivia",2002,1,"Nicolas Valdivia","CONDEPA",-0.644,"Proyectado. Ultimo valor disponible V-DEM",-1.011,"Proyectado. Ultimo valor disponible V-DEM"
"691","Bolivia",2002,1,"Costa Obregon",NA,NA,NA,NA,NA
"692","Bolivia",2002,1,"Rolando Morales",NA,NA,NA,NA,NA
"693","Bolivia",2002,1,"Johnny Fernandez","UCS",0.047,"Proyectado. Ultimo valor disponible V-DEM",-0.794,"Proyectado. Ultimo valor disponible V-DEM"
"694","Bolivia",2005,1,"Evo Morales","MAS",-2.343,"VDEM",1.294,"VDEM"
"695","Bolivia",2005,1,"Felipe Quispe",NA,NA,NA,NA,NA
"696","Bolivia",2005,1,"Gildo Angulo","NFR",1.749,"Proyectado. Ultimo valor disponible V-DEM",-0.753,"Proyectado. Ultimo valor disponible V-DEM"
"697","Bolivia",2005,1,"Nestor Garcia",NA,NA,NA,NA,NA
"698","Bolivia",2005,1,"Eliseo Rodriguez",NA,NA,NA,NA,NA
"699","Bolivia",2014,1,"Evo Morales","MAS",-2.343,"VDEM",1.895,"VDEM"
"700","Guatemala",2003,1,"Oscar Berger",NA,NA,NA,NA,NA
"701","Guatemala",2011,1,"Mario Estrada","UCN",0.449,"VDEM",-0.52,"VDEM"
"702","Guatemala",2019,1,"Zury Rios",NA,NA,NA,NA,NA
"703","Guatemala",2023,1,"Isaac Farchi",NA,NA,NA,NA,NA
"704","Honduras",2017,1,"Juan Orlando Hernandez","PNH",2.129,"VDEM",1.522,"VDEM"
"705","Honduras",2017,1,"Marlene Alvarenga","PAC",-0.064,"Proyectado. Ultimo valor disponible V-DEM",-0.347,"Proyectado. Ultimo valor disponible V-DEM"
"706","Colombia",1986,1,"Virgilio Barco","PLC",-0.611,"VDEM",1.577,"VDEM"
"707","Colombia",2002,1,"Ingrid Betancourt",NA,NA,NA,NA,NA
"708","Colombia",2006,1,"Alvaro Uribe Velez","Primero Colombia",NA,NA,NA,NA
"709","Colombia",2018,1,"Jorge Antonio Trujillo",NA,NA,NA,NA,NA
"710","Republica Dominicana",2016,1,"Danilo Medina","PLD",NA,NA,NA,NA
"711","El Salvador",1999,1,"Francisco Flores","ARENA",2.493,"Proyectado. Ultimo valor disponible V-DEM",1.515,"Proyectado. Ultimo valor disponible V-DEM"
"712","El Salvador",2019,1,"Nayib Bukele",NA,NA,NA,NA,NA
